code_rome_demandeur;code_niveau_entree;duree_numerique;code_type_mobilite;id_af_dokelio_idf;intitule_af;duree_texte;libelle_formacode;niveau_entree;niveau_sortie;formation_certifiante;lien_inscription_pole_emploi
A1203;1;1080;2;14_AF_0000094363;Titre professionnel vendeur-conseil en magasin;1080 heures (dont 390 heures en entreprise);vente spécialisée (34502);CAP, BEP;Bac, Bac pro, BP;Oui;"https://candidat.pole-emploi.fr/formations/detail/3986022/true/false/true/true;JSESSIONID_RECH_FORMATION=zVj1c8mTtaG-qzguhzJTPzuE0qT2AzdMoO49fWwfaXdSSypl5J-w!-1153848768"
A1203;0;851;0;14_AF_0000094419;BP option aménagements paysagers;851 heures (dont 280 heures en entreprise);travaux paysagers (21046);Aucun;Bac, Bac pro, BP;Oui;"https://candidat.pole-emploi.fr/formations/detail/3986232/true/false/true/true;JSESSIONID_RECH_FORMATION=0bj1dBLJekNJmqSBWE2Fq9HwwPcrpbYCpkb3Wdb6ON3Z6SipHjn6!-1153848768"
A1203;0;878;1;14_AF_0000112506;BP option responsable de productions légumières, fruitières, florales et de pépinières;878 heures (dont 280 heures en entreprise);culture légumière (21028);Aucun;Bac, Bac pro, BP;Oui;"https://candidat.pole-emploi.fr/formations/detail/3985447/true/false/true/false;JSESSIONID_RECH_FORMATION=McT1dH8k-frLt_5PRuL9HXsT1WzmrIE8Dar0Y9MkbUhqLadwci5N!1409198653"
A1203;0;680;2;14_AF_0000094418;CAP fleuriste;680 heures (dont 280 heures en entreprise);fleuriste (34503);Aucun;BEPC, CAP, BEP, BPA;Oui;"https://candidat.pole-emploi.fr/formations/detail/3986229/true/false/true/true;JSESSIONID_RECH_FORMATION=lsj1dAzKAV9PzCB1z12v1yza1ohqtw8MI3nW7Qf-M3ZOImKDmyTD!1409198653"
A1203;0;350;2;14_AF_0000093939;Conseiller-e en jardinerie;350 heures;vente produit horticole (34534);Aucun;Sans Niveau Spécifique;Non;"https://candidat.pole-emploi.fr/formations/detail/3986177/true/false/true/true;JSESSIONID_RECH_FORMATION=Bt_1cvEwBUOqAN56JfZzH49tORPHo0_sm9wrhnxH-y4JuL438MjR!-1153848768"
A1205;0;878;2;14_AF_0000112484;BP option responsable d’entreprise agricole (BPREA);878 heures (dont 280 heures en entreprise);gestion exploitation agricole (21052);Aucun;Bac, Bac pro, BP;Oui;"https://candidat.pole-emploi.fr/formations/detail/3985443/true/false/true/true;JSESSIONID_RECH_FORMATION=Un_1dHjRLksrIPTPek2ZhwwZGsd3m9Osgy3bHXPBsaAuKvGJZIzT!1062176548"
A1205;0;878;2;14_AF_0000131790;BP option responsable d’entreprise agricole (BPREA) option élevage ruminant;878 heures (dont 280 heures en entreprise);gestion exploitation agricole (21052);Aucun;Bac, Bac pro, BP;Oui;"https://candidat.pole-emploi.fr/formations/detail/4111271/true/false/true/false;JSESSIONID_RECH_FORMATION=4M_1dNpkF_4UMl3v-Yx37-ELY02uIRAhYNj7qXomM81X6CaEQ60K!-1153848768"
A1205;0;878;2;14_AF_0000112506;BP option responsable de productions légumières, fruitières, florales et de pépinières;878 heures (dont 280 heures en entreprise);culture légumière (21028);Aucun;Bac, Bac pro, BP;Oui;"https://candidat.pole-emploi.fr/formations/detail/3985447/true/false/true/false;JSESSIONID_RECH_FORMATION=McT1dH8k-frLt_5PRuL9HXsT1WzmrIE8Dar0Y9MkbUhqLadwci5N!1409198653"
A1205;0;851;2;14_AF_0000094419;BP option aménagements paysagers;851 heures (dont 280 heures en entreprise);travaux paysagers (21046);Aucun;Bac, Bac pro, BP;Oui;"https://candidat.pole-emploi.fr/formations/detail/3986232/true/false/true/true;JSESSIONID_RECH_FORMATION=0bj1dBLJekNJmqSBWE2Fq9HwwPcrpbYCpkb3Wdb6ON3Z6SipHjn6!-1153848768"
A1301;0;878;0;14_AF_0000112484;BP option responsable d’entreprise agricole (BPREA);878 heures (dont 280 heures en entreprise);gestion exploitation agricole (21052);Aucun;Bac, Bac pro, BP;Oui;"https://candidat.pole-emploi.fr/formations/detail/3985443/true/false/true/true;JSESSIONID_RECH_FORMATION=Un_1dHjRLksrIPTPek2ZhwwZGsd3m9Osgy3bHXPBsaAuKvGJZIzT!1062176548"
